"Statistic","Week","Sex","Age Group","Unit","2022 March 13","2022 March 20","2022 March 27","2022 April 03","2022 April 10","2022 April 17","2022 April 24","2022 May 01","2022 May 08","2022 May 15","2022 May 22","2022 May 29","2022 June 05","2022 June 12","2022 June 19","2022 June 26","2022 July 03","2022 July 10"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","All ages","Number","3,340","7,904","12,150","18,202","22,002","24,026","26,324","27,817","29,839","31,572","33,176","34,386","35,690","37,373","38,725","40,324","41,861","43,256"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","0 - 4 years","Number","224","586","927","1,395","1,659","1,805","1,956","2,050","2,180","2,284","2,382","2,468","2,534","2,628","2,704","2,803","2,875","2,944"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","5 - 9 years","Number","394","928","1,398","2,131","2,577","2,761","3,016","3,172","3,368","3,542","3,683","3,787","3,908","4,089","4,199","4,343","4,468","4,595"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","10 - 14 years","Number","411","970","1,446","2,135","2,541","2,765","2,998","3,155","3,376","3,539","3,689","3,795","3,916","4,090","4,227","4,399","4,557","4,676"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","15 - 19 years","Number","294","661","984","1,511","1,868","2,066","2,242","2,363","2,522","2,653","2,754","2,845","2,947","3,082","3,210","3,350","3,474","3,593"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","20 - 24 years","Number","178","450","748","1,121","1,362","1,477","1,614","1,707","1,815","1,930","2,039","2,109","2,189","2,279","2,357","2,473","2,580","2,668"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","25 - 29 years","Number","241","558","879","1,317","1,584","1,726","1,889","1,986","2,128","2,273","2,407","2,493","2,599","2,708","2,819","2,927","3,041","3,136"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","30 - 34 years","Number","296","711","1,121","1,721","2,087","2,255","2,454","2,593","2,791","2,944","3,107","3,238","3,373","3,531","3,641","3,790","3,912","4,054"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","35 - 39 years","Number","347","846","1,318","1,916","2,327","2,542","2,776","2,959","3,162","3,351","3,520","3,656","3,791","4,008","4,166","4,351","4,517","4,672"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","40 - 44 years","Number","295","657","997","1,482","1,796","1,987","2,209","2,346","2,519","2,655","2,797","2,901","3,028","3,179","3,325","3,455","3,583","3,702"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","45 - 49 years","Number","189","408","599","966","1,172","1,314","1,445","1,534","1,658","1,767","1,887","1,973","2,067","2,172","2,259","2,356","2,454","2,545"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","50 - 54 years","Number","88","229","385","602","761","842","945","1,010","1,103","1,202","1,276","1,335","1,399","1,487","1,544","1,618","1,715","1,785"
"PPSN allocations to arrivals from Ukraine","2022 March 13","Both sexes","55 - 59 years","Number","77","187","301","464","556","616","691","735","830","892","949","1,002","1,059","1,123","1,166","1,219","1,289","1,338"
